id,Age,PPSN
1,66,4776275S
2,51,1882466e
3,41,6604454T
4,67,6139942u
5,48,4663977w
6,30,3382756i
7,75,5626296W
8,50,6682113A
9,48,9923882N
10,76,2325785c
11,66,9821252E
12,29,6787561k
13,38,1593670C
14,24,7127436x
15,18,1426762H
16,73,5318228z
17,56,5389484U
18,42,6873817u
19,43,5097186a
20,42,3779574f
21,36,4326794q
22,33,3522568d
23,76,6147572O
24,79,8502730m
25,77,1808616H
26,66,3398243l
27,60,8249851x
28,78,9069049U
29,39,7081993t
30,64,4241492E
31,75,2265297U
32,48,4716772u
33,80,8030404I
34,22,7169767k
35,57,6685558h
36,69,6786269L
37,45,8617708B
38,64,4614769i
39,49,7909839l
40,54,6062878d
41,19,9903986M
42,21,6208101h
43,36,5114414A
44,66,2539786F
45,67,4911569i
46,77,7652457h
47,29,9663265Z
48,72,5288612d
49,41,9539371e
50,76,6361931G
51,48,7813640d
52,73,5128597N
53,38,7711157I
54,67,4651597E
55,60,7213993Z
56,30,2912407q
57,44,3679361J
58,39,1405989m
59,53,6331050d
60,31,1407019X
61,38,4434303y
62,44,9381557k
63,68,1649624r
64,42,5661279c
65,78,5129607U
66,76,5030527X
67,18,8730493l
68,56,6143265p
69,78,9232567h
70,56,3081925Z
71,54,2807946z
72,75,4997006B
73,23,7835570J
74,47,2443577S
75,43,6676939o
76,60,8549334q
77,70,2744409h
78,20,9702775Q
79,78,4498703V
80,51,1675693p
81,76,3787905I
82,32,2550243N
83,44,8018953q
84,72,1111683H
85,72,3042564j
86,30,8185373D
87,36,8653108X
88,37,1449383g
89,42,9567479d
90,58,5669801A
91,72,5080821f
92,51,8819341h
93,48,8468482W
94,76,3543971G
95,72,2416521u
96,26,5703150G
97,55,4497024Q
98,74,5371346Q
99,64,7530362a
100,47,3600194N
101,27,5021643N
102,58,4813395v
103,64,4900027K
104,62,9859525H
105,55,5269949a
106,61,2458177p
107,21,2409927g
108,43,6151759w
109,68,6558368K
110,23,4673225r
111,69,9962780w
112,35,5284730F
113,37,9406344V
114,57,2711715G
115,75,1603609e
116,34,7058735J
117,27,7840370M
118,71,1391331L
119,33,3997642z
120,53,9849092m
121,72,5464565w
122,21,5281649Y
123,58,1071964g
124,71,1348805w
125,80,1274531g
126,50,2091709r
127,47,1394726q
128,71,9974509w
129,74,6942782p
130,65,3408675O
131,51,1485947w
132,58,8400650u
133,21,1805494C
134,75,2800854i
135,32,9596355R
136,65,8059965y
137,37,8115923m
138,26,9765196t
139,71,6746474Z
140,29,5905047H
141,49,8972703r
142,19,6604905u
143,76,4010951S
144,60,5136189y
145,54,9068492d
146,62,2613169y
147,71,7876403d
148,29,6096610m
149,46,9290493h
150,56,4945503z
151,72,2844071o
152,55,4374862z
153,78,1135585A
154,48,8402055e
155,28,5480609M
156,74,6729762n
157,78,5508072O
158,36,9631184Q
159,60,9227492a
160,50,5853461S
161,38,7725516l
162,62,3891500U
163,69,5063989C
164,56,9051139F
165,19,4890830r
166,59,8137215e
167,65,7016994p
168,48,6131795i
169,40,4400620Y
170,69,4163150A
171,32,7401729J
172,77,8732707s
173,56,6020005m
174,54,3461651i
175,80,3199423k
176,40,8180374y
177,24,3110418E
178,65,5318416W
179,44,9316971C
180,62,5397350z
181,50,9285657L
182,27,6327422z
183,67,1639649y
184,20,8591214Z
185,33,3290016v
186,28,8989684D
187,79,6879011F
188,18,3558803j
189,61,4511036G
190,22,3105730P
191,27,5259396E
192,37,1353462Q
193,31,6927154r
194,74,9527288Q
195,70,5948076k
196,35,6594557F
197,55,8529009i
198,60,7918552U
199,70,2235447g
200,65,2130996Q
201,29,3660095R
202,73,6195717L
203,60,9665939m
204,72,1466496l
205,19,1842902H
206,25,6523776h
207,63,8127420A
208,52,3344776N
209,39,8607988U
210,46,2377070P
211,69,5117192P
212,53,6376690c
213,31,5869869d
214,60,8975158f
215,45,9304523w
216,80,8226053f
217,62,4221321h
218,68,9501105r
219,21,3940954j
220,32,1301130X
221,54,5121822G
222,19,4964518q
223,55,3517151B
224,41,4577063X
225,67,3455208V
226,36,9687756Z
227,46,2971598j
228,79,8982656e
229,20,5556595Q
230,58,5801744S
231,20,7616917o
232,68,5147947k
233,25,5346750E
234,69,2005403m
235,19,7430834R
236,36,4512162R
237,25,5261074Y
238,33,6985222d
239,63,7758103U
240,56,3066347D
241,74,8887927E
242,57,5847873q
243,61,1527424O
244,31,5275190q
245,29,3880255e
246,48,7605444T
247,28,7894797U
248,27,6294952J
249,56,3489072l
250,54,3574003x
251,73,5597690e
252,36,7910894N
253,56,6109598M
254,20,3205745C
255,68,9819056Y
256,76,3933891X
257,74,7139740t
258,70,3500390U
259,19,9594136o
260,28,5349102i
261,46,8448738M
262,61,5501733g
263,41,3007874B
264,58,8843759e
265,38,2328969v
266,66,5570580v
267,24,7213831Z
268,42,6375463a
269,54,7147078u
270,60,5096509G
271,46,5336293L
272,21,2544870X
273,34,8986617U
274,53,1699221o
275,74,4693140h
276,57,4734957J
277,21,2662901e
278,25,8830885k
279,60,8934700n
280,60,6169856S
281,77,6685154s
282,77,8191958h
283,49,7272314H
284,20,8817750Y
285,39,3617795t
286,77,4059342a
287,69,6188090t
288,72,2867706Y
289,44,8348424O
290,18,4240440l
291,79,2468692N
292,37,3018686s
293,57,6686144O
294,80,3148221C
295,39,1663940V
296,37,8267679K
297,18,5531230w
298,53,8222326H
299,73,5602911K
300,42,6999897b
301,26,5488051M
302,60,9188382i
303,37,6428740q
304,41,6052933X
305,61,5209532G
306,43,7736849J
307,74,2904419l
308,26,8608393Q
309,52,4873947q
310,23,4047594t
311,69,8033943q
312,27,2060257N
313,59,6576698a
314,50,8191036s
315,29,3192219P
316,42,7071294X
317,47,8670958y
318,47,2302488J
319,78,2538599N
320,46,9590470D
321,28,2389293S
322,70,7689926G
323,55,1149334B
324,18,2824146j
325,32,3368663u
326,37,5989297v
327,41,8257241d
328,34,9469596U
329,20,5762937K
330,37,8181278U
331,32,6644257S
332,30,4818363x
333,27,4686794X
334,32,5178205K
335,71,8875673m
336,63,5709460w
337,51,7454108w
338,68,3935626U
339,71,3605773T
340,68,3983364N
341,32,2292872T
342,64,2674508z
343,65,9321303e
344,33,5380603Y
345,61,3496987P
346,52,9670118j
347,30,4427044H
348,37,1973404R
349,34,4926027B
350,47,6909216p
351,68,4385183b
352,74,8992279p
353,48,7170539Y
354,47,7947115f
355,27,3708917n
356,39,6210942e
357,24,9131715G
358,73,6557976M
359,29,4994356r
360,56,9131056Y
361,62,6958757l
362,19,3964562c
363,48,7772808e
